Airport Name,Wikipedia Link,ICAO,IATA,Latitude,Longitude
Tuskegee Army Airfield,https://en.wikipedia.org/wiki/Tuskegee_Army_Airfield,,TGE,32.49194,-85.77556
Chignik Fisheries Airport,https://en.wikipedia.org/wiki/Chignik_Fisheries_Airport,,KCG,56.31778,-158.59083
Jonesville Mine Airport,https://en.wikipedia.org/wiki/Jonesville_Mine_Airport,PAJV,,61.73194,-148.92611
Tok Airport,https://en.wikipedia.org/wiki/Tok_Airport,PATJ,TKJ,63.30333,-143.00111
Dennis F. Cantrell Field,https://en.wikipedia.org/wiki/Dennis_F._Cantrell_Field,KCWS,,35.08083,-92.42500
Hughes Airport (California),https://en.wikipedia.org/wiki/Hughes_Airport_(California),CL71,,33.975000,-118.417000
Marine Corps Air Station El Toro,https://en.wikipedia.org/wiki/Marine_Corps_Air_Station_El_Toro,KNZJ,,33.67611,-117.73111
Meadowlark Airport,https://en.wikipedia.org/wiki/Meadowlark_Airport,,L16,33.719,-118.037
Stapleton International Airport,https://en.wikipedia.org/wiki/Stapleton_International_Airport,KDEN,DEN,39.761,-104.892
Griswold Airport,https://en.wikipedia.org/wiki/Griswold_Airport,,MPE,41.27111,-72.54972
Rentschler Field,https://en.wikipedia.org/wiki/Rentschler_Field,,EHT,41.75333,-72.62833
Panama City–Bay County International Airport,https://en.wikipedia.org/wiki/Panama_City%E2%80%93Bay_County_International_Airport,KPFN,PFN,30.21222,-85.68278
Tampa Bay Executive Airport,https://en.wikipedia.org/wiki/Tampa_Bay_Executive_Airport,KRRF,,28.18778,-82.62556
Morris Army Airfield,https://en.wikipedia.org/wiki/Morris_Army_Airfield,,FOP,33.62222,-84.33972
Kaanapali Airport,https://en.wikipedia.org/wiki/Kaanapali_Airport,PHKP,HKP,20.94333,-156.69000
Meigs Field,https://en.wikipedia.org/wiki/Meigs_Field,KCGX,,41.86000,-87.60861
Decatur Hi-Way Airport,https://en.wikipedia.org/wiki/Decatur_Hi-Way_Airport,KDCR,DCR,40.83750,-84.86250
O'Neal Airport,https://en.wikipedia.org/wiki/O%27Neal_Airport,KOEA,OEA,38.69139,-87.55222
Fairfax Municipal Airport,https://en.wikipedia.org/wiki/Fairfax_Municipal_Airport,,KCK,39.14806,-94.59972
Fall River Municipal Airport,https://en.wikipedia.org/wiki/Fall_River_Municipal_Airport,KFLR,,41.75000,-71.11000
Naval Air Station South Weymouth,https://en.wikipedia.org/wiki/Naval_Air_Station_South_Weymouth,KNZW,NZW,42.14861,-70.93972
Big Beaver Airport,https://en.wikipedia.org/wiki/Big_Beaver_Airport,,3BB,42.564745,-83.108268
Burns Airport,https://en.wikipedia.org/wiki/Burns_Airport,KBNO,BNO,43.59194,-118.95556
Coleman A. Young International Airport,https://en.wikipedia.org/wiki/Coleman_A._Young_International_Airport,KDET,DET,42.40917,-83.01000
Kent County Airport,https://en.wikipedia.org/wiki/Kent_County_Airport,KGRR,GRR,42.88083,-85.52278
